DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35397.00,0.00,-0.01,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.03,-0.01,0.00,-0.01,0.00,0.00,0.01,0.01,-0.01,0.00
35398.00,0.01,-0.01,0.00,0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.01,0.00,0.00
35401.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,-0.05,0.01,0.00,0.08,0.00,0.00,0.01,-0.01,0.00,0.00,-0.01,0.00,0.00
35402.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.01,-0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01
35403.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.02,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.01,0.00
35404.00,0.00,0.01,0.00,0.01,0.00,-0.01,-0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,-0.01,-0.01,0.00
35405.00,0.01,0.00,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.01,0.00,-0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00
35408.00,-0.01,0.00,0.01,-0.01,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,-0.01,0.01,0.00,0.02,0.01,-0.01,0.00,0.00,-0.01,0.00,0.01,0.00,0.00
35409.00,0.00,0.00,0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.01,0.00,-0.03,0.02,0.01,0.00,0.00,0.00,0.02,-0.01,0.00,0.00,0.00
35410.00,0.00,0.00,0.00,0.01,0.00,0.01,0.05,0.01,0.01,0.01,0.01,0.03,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00
35411.00,0.00,-0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.02,0.00,0.01
35412.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00
35415.00,0.00,-0.01,-0.01,0.00,-0.01,-0.02,-0.01,-0.01,0.00,0.00,0.00,0.01,-0.01,0.00,0.10,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
35416.00,0.00,0.01,-0.01,0.00,0.00,0.01,0.00,0.00,-0.01,0.01,0.00,-0.01,0.00,0.01,0.00,0.01,0.00,0.00,-0.01,0.00,0.01,0.00,0.01,-0.01
35417.00,0.00,0.00,0.00,0.00,-0.01,0.00,-0.01,-0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
35418.00,0.00,0.00,0.00,-0.01,0.01,0.01,0.00,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.02,0.01,-0.01,0.00,-0.01,-0.01,0.00,0.00,0.01,-0.01
35419.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,0.01,-0.01,0.00,0.00,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00
35422.00,0.00,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.01,0.00
